"id","title","authors","year","source","abstract","education_level","ai_tool","main_theme","secondary_theme","overall_tone","benefit_discussed","concern_discussed","student_group","manual_notes"
"17","Artificial Intelligence in K-12 Classrooms: Student and Teacher Experiences","Mostafa Zafari, Jalal Safari Bazargani, Abolghasem Sadeghi-Niaraki, Soo-Mi Choi","2023","https://ieeexplore.ieee.org/abstract/document/9785805","This study examines teacher and student experiences with artificial intelligence tools in K-12 classrooms, including instructional support, engagement, classroom management, and technology acceptance.","K-12","generative AI","student attitudes","teacher attitudes","mixed","yes","yes","students and teachers","Focuses on classroom experiences and perceptions of AI integration."
"18","Artificial Intelligence and Education: A Review of Current Trends and Future Directions","Catherine Adams, Patti Pente, Gillian Lemermeyer, Geoffrey Rockwell","2023","https://www.sciencedirect.com/science/article/pii/S2666920X23000103","This review examines major trends in artificial intelligence and education research, including personalized learning systems, generative AI, assessment automation, and ethical concerns about algorithmic bias and educational inequality.","K-12","generative AI","ethics","personalized learning","mixed","yes","yes","students and educators","Broad review source discussing both technical innovation and educational risks."
"19","Exploring Generative AI in Educational Contexts","Shuchi Grover","2024","https://dl.acm.org/doi/abs/10.1145/3626252.3630937","This article investigates how generative AI tools are being integrated into educational settings and how educators and students perceive their usefulness, risks, and limitations.","K-12","generative AI","teacher attitudes","student attitudes","mixed","yes","yes","students and educators","Highlights uncertainty around responsible classroom integration of generative AI systems."
"20","Artificial Intelligence and Academic Integrity in Education","Nina Bergdahl, Jeanette Sjoberg","2024","https://www.sciencedirect.com/science/article/pii/S2666920X24001619","This article examines the relationship between generative AI technologies and academic integrity concerns in educational settings, including plagiarism, misuse of AI-generated writing, and challenges for educators.","K-12","generative AI","academic integrity","teacher attitudes","negative","yes","yes","students and educators","Focuses strongly on integrity and authenticity concerns surrounding AI-generated work."
"21","Generative AI and Digital Education","Angelique Lettourneau, Marion Deslandes Martineau, Patrick Charland, John Alecander Karran, Jared Boasen, Pierre Majorique Leger","2025","https://www.nature.com/articles/s41539-025-00320-7","This article explores how generative AI technologies are changing digital education through automated support systems, instructional assistance, and adaptive educational environments.","K-12","generative AI","personalized learning","productivity","positive","yes","yes","students and educators","Discusses the growing normalization of generative AI in educational environments."
"22","Artificial Intelligence Adoption in Educational Settings","Katarina Sperling, Linnea Stenliden, Jorgen Nissen, Fredrik Heintz","2023","https://link.springer.com/article/10.1007/s42438-023-00417-5","This article investigates adoption patterns of artificial intelligence technologies in schools and educational institutions, focusing on instructional use, barriers to implementation, and teacher readiness.","K-12","generative AI","teacher attitudes","policy","mixed","yes","yes","teachers and students","Useful for discussing institutional adoption challenges and teacher preparedness."
"23","Artificial Intelligence Education for Young Learners","Gerald Steinbaur, Martin Kandlhofer, Tara Chklovski, Fredrik Heintz, Sven Koenig","2021","https://link.springer.com/article/10.1007/s13218-021-00734-6","This article examines how AI concepts can be introduced to young learners and discusses curriculum design, AI literacy, and pedagogical approaches for K-12 students.","K-12","other","AI literacy","curriculum","positive","yes","yes","young learners","Important source for understanding AI literacy development among younger students."
"24","Artificial Intelligence in Online and Classroom Learning Environments","Johanna Velander, Mohammed Ahmad Taiye, Nuno Otero, Marcelo Milrad","2023","https://link.springer.com/article/10.1007/s10639-023-11990-4","This article analyzes how artificial intelligence technologies are being used across online and classroom learning environments to support instruction, assessment, and engagement.","K-12","generative AI","productivity","personalized learning","mixed","yes","yes","students and educators","Connects AI adoption to broader digital learning environments and educational efficiency."
"25","Generative AI and Educational Transformation","Li Li, Fengchao Yu, Enting Zhang","2024","https://www.sciencedirect.com/science/article/pii/S2666920X24000183","This article examines how generative AI technologies are transforming educational practices through automated assistance, content generation, and adaptive instructional support.","K-12","generative AI","productivity","personalized learning","mixed","yes","yes","students and educators","Examines how generative AI systems are reshaping educational workflows and classroom support."
"26","AI-Supported Teaching and Learning in Educational Contexts","Ozan Filiz, Mehment haldun Kaya, Tufan Adiguzel","2025","https://link.springer.com/article/10.1007/s10639-025-13463-2","This article explores AI-supported teaching and learning systems, focusing on classroom implementation, instructional design, and educator experiences with AI technologies.","K-12","AI tutoring system","teacher attitudes","curriculum","mixed","yes","yes","teachers and students","Focuses on implementation challenges and practical classroom integration."
"27","Teacher Perceptions of Generative AI in Education","Anastasia Gouseti, Fiona James, Lee Fallin, Kevin Burden","2024","https://www.tandfonline.com/doi/full/10.1080/1475939X.2024.2428601","This article examines teacher perceptions of generative AI in educational settings, including opportunities for instructional support and concerns regarding ethical use and student dependency.","K-12","generative AI","teacher attitudes","ethics","mixed","yes","yes","teachers","Strong teacher-centered source focused on trust, ethics, and classroom adaptation."
"28","Artificial Intelligence in Science Education","Li Li","2024","https://journalhosting.ucalgary.ca/index.php/cjnse/article/view/76563","This article discusses the use of artificial intelligence technologies in science education, focusing on student engagement, adaptive learning, and scientific literacy.","high school","AI tutoring system","personalized learning","student attitudes","positive","yes","yes","science students","Useful STEM-focused example of AI integration in subject-specific instruction."
"29","Artificial Intelligence and Educational Innovation","Nathan Wang, Paul Tonko, Nikil Ragav, Michael Chungyoun, Jonathan Plucker","2023","https://www.tandfonline.com/doi/abs/10.21300/23.1.2023.2","This article explores innovation in education through artificial intelligence technologies, including adaptive learning systems, automated assessment, and digital classroom support.","K-12","automated grading","productivity","personalized learning","positive","yes","yes","students and educators","Frames AI primarily as an educational innovation and efficiency tool."
"30","Artificial Intelligence and Learning Analytics in Education","Nina Bergdahl, Jeanette Sjoberg","2025","https://link.springer.com/article/10.1007/s10639-025-13762-8","This article examines the role of artificial intelligence and learning analytics in educational settings, including automated feedback systems, adaptive instruction, and data-driven educational decision making.","K-12","AI tutoring system","personalized learning","productivity","positive","yes","yes","students and educators","Focuses heavily on learning analytics and AI-supported instructional adaptation."
"31","Teaching Artificial Intelligence to K-12 Students","Amy Eguchi, Hiroyuki Okada, Yumiko Muto","2021","https://link.springer.com/article/10.1007/s13218-021-00737-3","This article explores methods for teaching artificial intelligence concepts to K-12 students and discusses curriculum development, computational thinking, and AI literacy.","K-12","other","AI literacy","curriculum","positive","yes","yes","K-12 students","Focuses on curriculum-building and introducing foundational AI concepts to students."
"32","Artificial Intelligence in Classroom Assessment","Yerin Seung, James D. Basham, Taehyum Kim, Jennifer, Lohoefener","2024","https://doi.org/10.1111/jcal.70144","This article discusses artificial intelligence applications in classroom assessment, including automated grading systems, personalized feedback generation, and adaptive evaluation strategies.","K-12","automated grading","productivity","automated grading","mixed","yes","yes","students and educators","Useful for discussing efficiency and fairness concerns in AI-assisted assessment."
"33","Generative Artificial Intelligence and Education","Thomas K. F. Chiu","2024","https://doi.org/10.4324/9781003498377","This book examines the growing role of generative artificial intelligence in educational settings, including writing support, instructional assistance, assessment, and ethical concerns.","K-12","generative AI","writing assistance","ethics","mixed","yes","yes","students and educators","Broad educational overview of generative AI impacts across learning environments."
"34","Artificial Intelligence in Online Learning Environments","Tianchong Wang, Eric Chi Keung Cheng","2021","https://www.sciencedirect.com/science/article/pii/S2666920X21000254","This article explores the use of artificial intelligence in online learning environments, including adaptive tutoring systems, automated feedback, and student engagement tools.","K-12","AI tutoring system","personalized learning","student attitudes","positive","yes","yes","online learners","Useful source connecting AI systems with remote and online educational settings."
"35","Artificial Intelligence Literacy for Students","Xiaofei Zhau, Jessica Van Brummelen, Phoebe Lin","2020","https://doi.org/10.48550/arXiv.2009.10228","This paper discusses the importance of artificial intelligence literacy for students and proposes educational frameworks that help learners critically understand AI technologies and their social impacts.","K-12","other","AI literacy","ethics","positive","yes","yes","students","Important foundational source emphasizing critical AI understanding and responsible AI education."
"36","Artificial Intelligence and Educational Equity","Nazan Bautista, John Femiani, Daniela Inclezan","2025","https://doi.org/10.1609/aaai.v39i28.35183","This article examines educational equity concerns surrounding artificial intelligence technologies, including unequal access, algorithmic bias, and disparities in AI-supported learning environments.","K-12","generative AI","ethics","accessibility","negative","yes","yes","underrepresented student populations","Strong equity-focused source examining fairness and unequal access to AI educational systems."
"37","AI-Assisted Learning in Educational Contexts","Aslihan Unal, Zafer Unal","2025","https://doi.org/10.70725/546995xiatpy","This article explores AI-assisted learning systems and their impact on educational support, personalized learning, and instructional efficiency.","K-12","AI tutoring system","personalized learning","productivity","positive","yes","yes","students","Focuses on instructional support and AI-enhanced learning environments."
"38","Artificial Intelligence Applications in Educational Computing","spyridon Aravantinos, Konstantinos Lavidas, Vassilis Komis, Thanassis Karalis, Stamatios Papadakis","2025","https://www.mdpi.com/2073-431X/15/1/49","This article examines applications of artificial intelligence in educational computing, including adaptive educational systems, classroom automation, and AI-assisted instructional tools.","K-12","AI tutoring system","productivity","personalized learning","positive","yes","yes","students and educators","Frames AI as a practical tool for improving educational computing environments."
"39","Generative AI and Student Learning Experiences","Di Wu, Meng Chen, Xu Chen, Xing Liu","2024","https://www.sciencedirect.com/science/article/pii/S2666920X24000985","This article explores how generative AI systems affect student learning experiences, engagement, and perceptions of educational support technologies.","K-12","generative AI","student attitudes","personalized learning","mixed","yes","yes","students","Useful for examining student perceptions and engagement with generative AI systems."
"40","AI in Education: Emerging Trends and Implications","Yin Hong Cheah, Jingru Lu, Juhee Kim","2025","https://doi.org/10.1016/j.caeai.2025.100363","This article examines emerging trends in artificial intelligence within educational settings, including generative AI systems, adaptive learning tools, and automated instructional support.","K-12","generative AI","productivity","teacher attitudes","mixed","yes","yes","students and educators","Broad overview source discussing current educational AI trends and institutional responses."
"41","Artificial Intelligence and Educational Practice","Abdullah Alfarwan","2025","https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2025.1647573/full","This article explores the relationship between artificial intelligence technologies and educational practice, focusing on classroom implementation, instructional adaptation, and student engagement.","K-12","generative AI","teacher attitudes","student attitudes","mixed","yes","yes","students and teachers","Discusses practical classroom implementation and educator adaptation challenges."
"42","Artificial Intelligence and the Future of Learning","Center for Curriculum Redesign","2019","https://www.jstor.org/stable/pdf/resrep19907","This report examines how artificial intelligence may reshape learning, educational systems, and future workforce preparation while also raising questions about ethics, inequality, and educational transformation.","K-12","other","policy","ethics","mixed","yes","yes","students and educators","Useful conceptual source discussing long-term educational transformation through AI."
"43","Artificial Intelligence and Sustainability in Education","Valentin Kuleto, Milena P Llic, Rocsana Bucea-Manea-Tonis, David-Florin Ciocodeica, Horia Mihalcescu, Veronica Mindrescu","2022","https://www.mdpi.com/2071-1050/14/14/8636","This article examines how artificial intelligence technologies may support sustainable educational practices through adaptive systems, resource optimization, and digital learning environments.","K-12","AI tutoring system","productivity","accessibility","positive","yes","yes","students and educators","Connects AI-supported learning systems with sustainability and educational efficiency."
"44","Teacher Readiness for Artificial Intelligence Integration","Pavlo Antonenko, Brian Abramowitz","2022","https://www.tandfonline.com/doi/abs/10.1080/15391523.2022.2119450","This article investigates teacher readiness for integrating artificial intelligence technologies into educational practice, focusing on training, confidence, and institutional support.","K-12","generative AI","teacher attitudes","policy","mixed","yes","yes","teachers","Useful for discussing institutional preparedness and educator confidence regarding AI integration."
"45","Artificial Intelligence in Educational Innovation and Practice","Ning Wang and James Lester","2023","https://link.springer.com/chapter/10.1007/978-3-031-36336-8_6","This chapter explores educational innovation through artificial intelligence technologies, including adaptive learning systems, instructional automation, and digital classroom support.","K-12","AI tutoring system","productivity","personalized learning","positive","yes","yes","students and educators","Discusses educational innovation and AI-supported instructional efficiency."
"46","Artificial Intelligence and Personalized Learning in K-12 Education","Tianyu Zhang, Yiu Chi Lai, Philip Leung Ho Yu","2024","https://openurl.ebsco.com/EPDB%3Agcd%3A1%3A16148689/detailv2?sid=ebsco%3Aplink%3Acrawler-gcd&id=ebsco%3Agcd%3A192754612","This article examines how artificial intelligence technologies support personalized learning in K-12 education through adaptive instruction, automated feedback, and individualized learning pathways.","K-12","AI tutoring system","personalized learning","productivity","positive","yes","yes","K-12 students","Strong personalized learning example focused on adaptive educational support."
"47","Artificial Intelligence and Literacy Development in K-12 Schools","Damian Maher (University of Technology, Sydney, Australia) and Kirsty Young (University of Technology Sydney, Australia)","2023","https://www.igi-global.com/chapter/artificial-intelligence-and-literacy-development-in-k12-schools/330830","This chapter examines how artificial intelligence technologies may support literacy development in K-12 schools through writing support systems, adaptive reading tools, and individualized educational feedback.","K-12","writing assistance","writing assistance","personalized learning","positive","yes","yes","K-12 students","Useful literacy-focused source emphasizing individualized writing and reading support."
"48","Artificial Intelligence and Student Engagement in Education","Hyejeoung Lee, Hyojung Kim, Wei Yan","2025","https://www.sciencedirect.com/science/article/pii/S2666920X25001183","This article explores how artificial intelligence technologies influence student engagement, classroom interaction, and learning experiences in educational settings.","K-12","generative AI","student attitudes","personalized learning","mixed","yes","yes","students","Focuses on student engagement and perceptions of AI-supported educational systems."
"49","Enhancing Science Learning with ChatGPT as a Virtual Mentor","D. Ortiz de ZÃ¡rate and Colleagues","2024","https://library.iated.org/view/ORTIZDEZARATE2024ENH","This conference paper examines the use of ChatGPT as a virtual mentor to support science learning among K-12 students, focusing on engagement, academic performance, and individualized support.","high school","ChatGPT","personalized learning","student attitudes","positive","yes","yes","science students","Closely related to other ChatGPT mentoring studies emphasizing science learning support."
"50","Artificial Intelligence and Future Educational Environments","Siu Cheung Kong, Wenxi Hu","2026","https://doi.org/10.1016/j.caeai.2026.100556","This article discusses future educational environments shaped by artificial intelligence technologies, including generative AI systems, adaptive instruction, and AI-assisted educational decision-making.","K-12","generative AI","policy","productivity","mixed","yes","yes","students and educators","Future-oriented source discussing institutional and pedagogical implications of AI integration."
